agent,opponent,K,agent_role,who_starts,seed,W,D,L,n_games
SARSA,Random,4,1,agent,0,135,32,33,200
SARSA,Random,4,1,agent,1,145,22,33,200
SARSA,Random,4,1,agent,2,140,23,37,200
SARSA,Random,4,1,agent,3,144,23,33,200
SARSA,Random,4,1,agent,4,136,14,50,200
SARSA,Random,4,2,opponent,0,91,27,82,200
SARSA,Random,4,2,opponent,1,94,40,66,200
SARSA,Random,4,2,opponent,2,90,25,85,200
SARSA,Random,4,2,opponent,3,78,38,84,200
SARSA,Random,4,2,opponent,4,83,33,84,200
SARSA,Algorithm,0,1,agent,0,0,142,58,200
SARSA,Algorithm,0,1,agent,1,0,146,54,200
SARSA,Algorithm,0,1,agent,2,0,156,44,200
SARSA,Algorithm,0,1,agent,3,0,124,76,200
SARSA,Algorithm,0,1,agent,4,0,150,50,200
SARSA,Algorithm,0,2,opponent,0,0,0,200,200
SARSA,Algorithm,0,2,opponent,1,0,0,200,200
SARSA,Algorithm,0,2,opponent,2,0,0,200,200
SARSA,Algorithm,0,2,opponent,3,0,0,200,200
SARSA,Algorithm,0,2,opponent,4,0,0,200,200
SARSA,Algorithm,2,1,agent,0,29,62,109,200
SARSA,Algorithm,2,1,agent,1,28,76,96,200
SARSA,Algorithm,2,1,agent,2,30,71,99,200
SARSA,Algorithm,2,1,agent,3,19,59,122,200
SARSA,Algorithm,2,1,agent,4,22,52,126,200
SARSA,Algorithm,2,2,opponent,0,5,27,168,200
SARSA,Algorithm,2,2,opponent,1,3,17,180,200
SARSA,Algorithm,2,2,opponent,2,7,19,174,200
SARSA,Algorithm,2,2,opponent,3,3,21,176,200
SARSA,Algorithm,2,2,opponent,4,0,22,178,200
SARSA,Algorithm,4,1,agent,0,69,38,93,200
SARSA,Algorithm,4,1,agent,1,71,46,83,200
SARSA,Algorithm,4,1,agent,2,65,47,88,200
SARSA,Algorithm,4,1,agent,3,69,46,85,200
SARSA,Algorithm,4,1,agent,4,54,53,93,200
SARSA,Algorithm,4,2,opponent,0,8,32,160,200
SARSA,Algorithm,4,2,opponent,1,8,37,155,200
SARSA,Algorithm,4,2,opponent,2,3,30,167,200
SARSA,Algorithm,4,2,opponent,3,6,39,155,200
SARSA,Algorithm,4,2,opponent,4,8,37,155,200
SARSA,Minimax,0,1,agent,0,0,142,58,200
SARSA,Minimax,0,1,agent,1,0,146,54,200
SARSA,Minimax,0,1,agent,2,0,156,44,200
SARSA,Minimax,0,1,agent,3,0,124,76,200
SARSA,Minimax,0,1,agent,4,0,150,50,200
SARSA,Minimax,0,2,opponent,0,0,29,171,200
SARSA,Minimax,0,2,opponent,1,0,22,178,200
SARSA,Minimax,0,2,opponent,2,0,15,185,200
SARSA,Minimax,0,2,opponent,3,0,25,175,200
SARSA,Minimax,0,2,opponent,4,0,23,177,200
SARSA,Minimax,2,1,agent,0,51,57,92,200
SARSA,Minimax,2,1,agent,1,41,59,100,200
SARSA,Minimax,2,1,agent,2,50,57,93,200
SARSA,Minimax,2,1,agent,3,31,75,94,200
SARSA,Minimax,2,1,agent,4,38,65,97,200
SARSA,Minimax,2,2,opponent,0,0,20,180,200
SARSA,Minimax,2,2,opponent,1,0,13,187,200
SARSA,Minimax,2,2,opponent,2,0,18,182,200
SARSA,Minimax,2,2,opponent,3,0,19,181,200
SARSA,Minimax,2,2,opponent,4,0,19,181,200
SARSA,Minimax,4,1,agent,0,69,33,98,200
SARSA,Minimax,4,1,agent,1,82,42,76,200
SARSA,Minimax,4,1,agent,2,67,41,92,200
SARSA,Minimax,4,1,agent,3,72,43,85,200
SARSA,Minimax,4,1,agent,4,62,49,89,200
SARSA,Minimax,4,2,opponent,0,7,21,172,200
SARSA,Minimax,4,2,opponent,1,10,19,171,200
SARSA,Minimax,4,2,opponent,2,7,12,181,200
SARSA,Minimax,4,2,opponent,3,9,18,173,200
SARSA,Minimax,4,2,opponent,4,9,19,172,200
